timeseries,humidity,temperature
2021-09-10T03:37:16.400Z,67.5,23.4
2021-09-10T03:37:23.653Z,67.5,23.4
2021-09-10T03:37:33.653Z,67.5,23.4
2021-09-10T03:37:43.590Z,67.5,23.4
2021-09-10T03:37:53.590Z,67.5,23.4
2021-09-10T03:38:03.671Z,67.6,23.4
2021-09-10T03:38:13.632Z,67.6,23.5
2021-09-10T03:38:23.633Z,67.6,23.5
2021-09-10T03:38:33.651Z,67.6,23.5
2021-09-10T03:38:43.643Z,67.5,23.5
2021-09-10T03:38:53.642Z,67.3,23.5
2021-09-10T03:39:03.652Z,67,23.6
2021-09-10T03:39:13.621Z,66.9,23.6
2021-09-10T03:39:23.593Z,66.8,23.6
2021-09-10T03:39:33.593Z,66.8,23.6
2021-09-10T03:39:43.633Z,66.9,23.6
2021-09-10T03:39:53.653Z,67.1,23.6
2021-09-10T03:40:03.675Z,67.3,23.6
2021-09-10T03:40:13.608Z,67.4,23.6
2021-09-10T03:40:23.592Z,67.3,23.7
2021-09-10T03:40:33.602Z,67.2,23.7
2021-09-10T03:40:43.636Z,67.1,23.7
2021-09-10T03:40:53.621Z,66.9,23.7
2021-09-10T03:41:03.604Z,66.8,23.7
2021-09-10T03:41:13.607Z,66.7,23.8
2021-09-10T03:41:23.650Z,66.6,23.8
2021-09-10T03:41:33.643Z,66.5,23.8
